TAU(MFT),wind,sst,airT,Pressure,WaveL,WaveH,TAU(obs)
0.402398348,9.5477,5.9957,5.9,1016.8255,9.551,4.1872,0.3673
0.427301079,9.9109,5.9929,5.9,1016.8426,9.5851,4.1787,0.4082
0.403559119,9.5661,5.8957,5.9,1017.4171,10.6318,3.8915,0.3868
0.466636568,10.4786,5.8901,5.9,1017.4398,10.5409,3.8801,0.4023
0.462961793,10.4261,5.8872,5.9,1017.4512,10.4954,3.8744,0.4264
0.488706082,10.7935,5.8028,5.8945,1017.7917,9.1,3.7028,0.4251
0.432370156,9.9866,5.8085,5.8831,1017.7746,9.1,3.7085,0.3652
0.480922848,10.6828,5.8113,5.8774,1017.7661,9.1,3.7113,0.377
0.383124918,9.2626,5.9,5.7,1017.5284,9.1497,3.7716,0.4062
0.401484102,9.5328,5.9,5.7,1017.9,9.8,3.4,0.3714
0.379126936,9.2035,5.9,5.7,1017.9298,9.7872,3.4043,0.3478
0.364799142,8.9909,5.9,5.7,1018.6107,9.5,3.4987,0.3648
0.402315795,9.545,5.9,5.7,1018.6221,9.5,3.4972,0.2992
0.378356069,9.1921,5.9,5.7,1018.6335,9.5,3.4958,0.3243
0.361756891,8.9456,5.9,5.7,1018.6449,9.5,3.4944,0.3492
0.353991568,8.8297,5.9,5.7,1018.679,9.5,3.4901,0.2653
0.290734053,7.8704,5.9,5.7,1018.6904,9.5,3.4887,0.3293
0.320621669,8.3272,5.9,5.7,1018.7018,9.5,3.4873,0.324
0.337328672,8.5796,5.9,5.6929,1019.3432,9.4716,3.4071,0.3316
0.31691283,8.2707,5.9,5.6886,1019.3091,9.4545,3.4114,0.2829
0.269396991,7.5379,5.9,5.6,1018.6,9.1,3.5,0.2434
0.242779493,7.1185,5.9,5.6,1018.6171,9.1938,3.4915,0.2381
0.242339954,7.1115,5.9,5.6,1018.6227,9.2251,3.4886,0.235
0.152032137,5.5599,5.9,5.7,1018.3001,10.2,3.1,0.1936
0.164959028,5.8167,5.9,5.7,1018.2986,10.1902,3.1014,0.2175
0.174949318,5.9944,5.9,5.7,1018.2943,10.1603,3.1057,0.1753
0.192216769,6.2923,5.9,5.7,1018.2886,10.1205,3.1114,0.1465
0.141079351,5.1883,5.9,5.7,1018.1929,9.517,3.1986,0.1608
0.12507458,4.6337,5.9,5.7,1018.1858,9.5341,3.1972,0.1921
0.153442502,5.6057,5.9,5.7,1018.1503,9.6194,3.1901,0.1596
0.157969251,5.6895,5.9,5.7,1017.7004,10.699,3.1001,0.1642
0.155262068,5.6396,5.8987,5.7027,1017.7,10.6933,3.0987,0.2246
0.126365289,4.6784,6.1999,6.3999,1014.1013,9.5,2.7999,0.1596
0.120540209,4.4733,6.2,6.404,1014.0866,9.5215,2.796,0.1667
0.126837,4.6949,6.2,6.4254,1014.0154,9.6353,2.7746,0.1498
0.132562742,4.8944,6.2,6.4382,1013.9727,9.7036,2.7618,0.1535
0.168449163,5.8925,6.2,6.7042,1013.0817,11.0719,2.4986,0.1837
0.201179773,6.4569,6.2,6.7298,1012.9708,10.9012,2.4901,0.2361
0.270929545,7.5811,6.2,7.0028,1011.7787,9.1227,2.3986,0.2749
0.25416106,7.3187,6.2,7.0085,1011.7361,9.1682,2.3957,0.2762
0.304255575,8.0948,6.2,7.0142,1011.6934,9.2137,2.3929,0.2794
0.282797188,7.7654,6.2,7.0199,1011.6508,9.2591,2.3901,0.2936
0.439470351,10.1017,6.2,7.2113,1010.0852,10.5643,2.3113,0.376
0.525036633,11.3161,6.1915,7.3085,1008.2552,9.6022,2.4,0.4933
0.574709892,12.0018,6.1901,7.3099,1008.231,9.6193,2.4,0.4284
0.638995051,12.8711,6.1,7.4028,1006.6801,10.6546,2.4,0.5407
0.633572519,12.7988,6.1,7.4043,1006.6702,10.6318,2.4,0.4824
0.634575367,12.8122,6.1,7.4057,1006.6602,10.6091,2.4,0.5584
0.62720418,12.7137,6.1,7.4071,1006.6503,10.5863,2.4,0.544
0.617054641,12.5776,6.1,7.4085,1006.6403,10.5636,2.4,0.458
0.729490101,14.0562,6.1,7.4999,1006.0006,9.1013,2.4,0.512
0.685638249,13.4878,6.0888,7.5056,1005.899,9.1224,2.4056,0.5636
0.380036831,9.2533,5.9999,8.3007,998.5989,8.8008,3.9999,0.3935
0.419320315,9.8274,5.9987,8.2987,998.6067,8.8,3.9946,0.3219
0.359226853,8.9455,5.993,8.293,998.6352,8.8,3.9719,0.3423
0.44556728,10.2061,5.9,8.2,999.0999,8.8,3.6001,0.3361
0.447025239,10.2273,5.9,8.2213,999.1284,8.8213,3.6142,0.3799
0.470648825,10.5644,6,8.2972,999.7,9.8249,3.6972,0.3983
0.527875006,11.3689,6,8.2915,999.7,9.8761,3.6915,0.4918
0.4990834,10.9663,6,8.2873,999.7,9.9145,3.6873,0.3921
0.487513572,10.8022,6,8.2,999.7,10.6999,3.6,0.3877
0.482787699,10.7354,6.0014,8.2028,999.693,10.693,3.5972,0.4004
0.487555742,10.8029,6.0085,8.217,999.6574,10.6574,3.583,0.4514
0.445832223,10.2088,6.0128,8.2256,999.6361,10.6361,3.5744,0.4322
0.553218901,11.7195,6.1,8.3886,999.1886,10.2,3.4227,0.4876
0.587071717,12.1805,6.0958,8.2,999.0042,10.2377,3.8,0.4946
0.563996971,11.8656,6.093,8.2,999.007,10.2633,3.8,0.5004
0.581172287,12.1003,6.0915,8.2,999.0085,10.2761,3.8,0.5584
0.631265819,12.7758,6.0887,8.2,999.0113,10.3017,3.8,0.5651
0.625475407,12.6992,6,8.1943,999.1113,11.0887,3.8085,0.511
0.68108815,13.4352,6,8.1887,999.1227,11.0773,3.817,0.4605
0.677456677,13.3876,6,8.1858,999.1284,11.0716,3.8213,0.5251
0.705846846,13.7577,6,8.183,999.1341,11.0659,3.8256,0.5683
0.886669576,16.0206,6,8,999.5,10.7,4.1,0.7746
0.77095747,14.5896,5.9943,7.9773,999.5341,10.7,4.1227,0.6313
0.668663979,13.2674,5.9127,7.5873,1000.1636,10.7,4.5127,0.6053
0.69399333,13.5974,6,7.4801,1000.6696,10.8491,4.6596,0.5606
0.777425766,14.6658,6,7.3,1001.3,12.2,5.2,0.6033
0.780901253,14.7096,6,7.2972,1001.3312,12.183,5.2057,0.5821
0.727637112,14.0306,6,7.1973,1002.4134,11.6081,5.404,0.4541
0.738067806,14.1645,6,7.1945,1002.4276,11.6166,5.4083,0.6353
0.773004115,14.609,6,7.1802,1002.4988,11.6593,5.4296,0.6709
0.723340213,13.9751,6,7.1774,1002.513,11.6678,5.4339,0.5465
0.675793231,13.355,6,7.0057,1003.4595,12.183,5.6943,0.5694
0.776002586,14.6455,6,7.0085,1003.4894,12.1745,5.6915,0.5563
0.732413232,14.0904,6,7.0099,1003.5043,12.1702,5.6901,0.6005
0.52336812,11.2926,6,7.1028,1004.4793,11.8916,5.5972,0.4042
0.565642059,11.8774,6,7.1042,1004.4943,11.8873,5.5958,0.4459
0.655226946,13.0857,5.9972,7.2028,1005.5249,11.6332,5.5028,0.5672
0.663212776,13.1913,5.9944,7.2056,1005.5505,11.6673,5.5056,0.5846
0.662740946,13.1851,5.993,7.207,1005.5633,11.6844,5.507,0.5744
0.65263468,13.0515,5.9901,7.2099,1005.5889,11.7186,5.5099,0.6273
0.588920712,12.1965,5.9887,7.2113,1005.6017,11.7357,5.5113,0.4846
0.612521052,12.5175,5.9,7.3,1006.3999,12.7998,5.6,0.5166
0.649129152,13.0066,5.9085,7.2957,1006.4468,12.8,5.6085,0.4811
0.637461245,12.8514,5.9113,7.2943,1006.4624,12.8,5.6113,0.6015
0.586826205,12.1696,5.917,7.2915,1006.4937,12.8,5.617,0.4881
0.547041535,11.6213,6.1,7.2,1007.5,12.8,5.8,0.4917
0.517030418,11.2041,6.1014,7.2014,1007.5156,12.783,5.7986,0.4024
0.617714763,12.5844,6.1099,7.2099,1007.6094,12.6806,5.7901,0.4775
0.623100996,12.6567,6.1114,7.2114,1007.6251,12.6636,5.7886,0.6156
0.573942304,11.9911,6.1999,7.2999,1008.5991,11.601,5.7001,0.5602
0.579678714,12.0694,6.2,7.2958,1008.6461,11.5791,5.6832,0.424
0.53827703,11.4989,6.2,7.2014,1009.7155,11.1239,5.3014,0.4521
0.463593245,10.4478,6.2,7.2071,1009.778,11.2206,5.3071,0.3996
0.445471495,10.1881,6.2,7.2099,1009.8093,11.269,5.3099,0.4133
0.526922107,11.3422,6.2,7.3,1010.8,12.8,5.4,0.3921
0.509808719,11.103,6.1986,7.2972,1010.8142,12.7915,5.3943,0.4596
0.470090687,10.5416,6.1957,7.2915,1010.8426,12.7744,5.3829,0.4467
0.483254015,10.7286,6.1943,7.2886,1010.8568,12.7659,5.3773,0.4569
0.466152161,10.4854,6.1915,7.2829,1010.8853,12.7488,5.3659,0.4177
0.418098718,9.7921,6.1,7.0987,1011.8188,12.2,4.9946,0.3853
0.341217101,8.6569,6.1,7.0944,1011.8786,12.2,4.9776,0.3185
0.325864375,8.4243,6.1,6.9986,1013.2098,12.2084,4.5958,0.3223
0.293244243,7.9276,6.1,6.9972,1013.2198,12.217,4.5915,0.2954
0.328576624,8.4652,6.1,6.9957,1013.2298,12.2255,4.5872,0.301
0.376708478,9.1838,6.1,6.9901,1013.2696,12.2596,4.5702,0.3105
0.265984654,7.5039,6.1,6.8957,1013.9256,12.7744,4.3128,0.3108
0.219758868,6.768,6.1,6.8872,1013.9767,12.7233,4.3384,0.2188
0.208316505,6.5787,6.1,6.8,1014.5503,12.1539,4.5832,0.2001
0.243901893,7.1545,6.1,6.8,1014.6186,12.0913,4.5605,0.2852
0.244285896,7.1606,6.1,6.8,1014.6527,12.06,4.5491,0.2517
0.179066628,6.0834,6.1,6.8,1015.6998,11.1002,4.2001,0.2268
0.182364076,6.1405,6.1,6.7943,1015.7454,11.1624,4.2057,0.192
0.134671152,4.9672,6.1,6.6957,1016.5213,12.2256,4.3085,0.1618
0.129264474,4.7795,6.1,6.6943,1016.5284,12.2341,4.3114,0.1225
0.127449006,4.7161,6.1,6.6929,1016.5355,12.2426,4.3142,0.1406
0.129287869,4.7804,6.1056,6.5888,1017.0337,12.7327,4.5,0.1299
0.120261915,4.4633,6.1085,6.5831,1017.0507,12.6985,4.5,0.1584
0.130731836,4.8307,6.1127,6.5745,1017.0764,12.6473,4.5,0.1858
0.144695997,5.3112,6.2,6.3773,1017.634,11.6,4.4773,0.1934
0.148713842,5.4475,6.2,6.3659,1017.6511,11.6,4.4659,0.1694
0.149790868,5.4839,6.2,6.3602,1017.6596,11.6,4.4602,0.2072
0.116326012,4.324,6.2028,5.9972,1018.2,11.5403,4.0972,0.145
0.105856247,3.9475,6.2057,5.9943,1018.2,11.4807,4.0943,0.1322
0.111182407,4.1397,6.1972,6.2028,1022.0085,10.7,3.1972,0.158
0.10969089,4.086,6.1943,6.2057,1022.017,10.7,3.1943,0.1565
0.105390511,3.9304,6.1915,6.2085,1022.0256,10.7,3.1915,0.1311
0.103932977,3.8774,6.1901,6.2099,1022.0298,10.7,3.1901,0.1013
0.097594336,3.6453,6.1,6.2972,1022.3142,10.7114,3.1028,0.1089
0.097901441,3.6566,6.1,6.2957,1022.3213,10.7171,3.1043,0.1108
0.097977467,3.6594,6.1,6.2915,1022.3426,10.7341,3.1085,0.1145
0.145857185,5.3508,6.1,6.2001,1022.7996,11.0997,3.1999,0.1667
0.128006816,4.736,6.1056,6.1944,1022.8056,11.0776,3.1944,0.1661
0.136630505,5.0352,6.1099,6.1901,1022.8099,11.0605,3.1901,0.2001
0.151106551,5.5284,6.1127,6.1873,1022.8127,11.0491,3.1873,0.2241
0.145054787,5.3236,6.2,6.1028,1022.9056,10.7126,3.0958,0.155
0.176343605,6.0246,6.2,6.3,1023.3,11.6,2.8,0.1755
0.14678441,5.3822,6.2071,6.3,1023.3142,11.4224,2.7858,0.1977
0.16499725,5.8229,6.2099,6.3,1023.3199,11.3513,2.7801,0.1698
0.150266618,5.5,6.2114,6.3,1023.3227,11.3158,2.7773,0.1998
0.092857398,3.4702,6.3965,6.4035,1026.3319,10.2177,2.5858,0.1291
0.108912475,4.0577,6.3465,6.4535,1026.7818,10.4676,2.3859,0.114
0.137863308,5.0774,6.3,6.5,1027.2141,10.5875,2.207,0.2153
0.136765018,5.0396,6.3,6.5,1027.4,9.1003,2.3,0.1585
0.150851786,5.5196,6.3,6.5,1027.3915,9.168,2.2957,0.1768
0.153809428,5.6191,6.3,6.5,1027.3801,9.259,2.2901,0.2353
0.161452174,5.7608,6.3,6.5,1027.2,10.7,2.2,0.1837
0.155514494,5.6517,6.3028,6.5,1027.2114,10.6858,2.1972,0.207
0.133860141,4.9393,6.3999,6.5,1027.5997,10.2004,2.1001,0.1707
0.136988893,5.0473,6.4,6.5141,1027.6211,10.2,2.1,0.171
0.13925527,5.1252,6.4,6.5198,1027.6296,10.2,2.1,0.17
0.143468812,5.2693,6.4,6.5255,1027.6382,10.2,2.1,0.1697
0.125593588,4.6511,6.4,6.7,1027.8999,10.2,2.1,0.143
0.129568726,4.7901,6.4014,6.7028,1027.907,10.2126,2.1014,0.1435
0.133359283,4.9218,6.4028,6.7057,1027.9141,10.2254,2.1028,0.1384
0.123959944,4.5937,6.4043,6.7085,1027.9212,10.2383,2.1043,0.1389
0.124022551,4.5959,6.4057,6.7113,1027.9284,10.2511,2.1057,0.1314
0.123289824,4.5701,6.4114,6.7227,1027.9568,10.3023,2.1114,0.1521
0.097862013,3.6546,6.5,6.8915,1028.4213,11.0829,2.2,0.112
0.083397634,3.1165,6.5,6.7002,1028.8996,10.7003,2.2,0.0941
0.08088205,3.0217,6.4944,6.6832,1028.9337,10.7,2.1832,0.0941
0.075584583,2.821,6.4915,6.6746,1028.9507,10.7,2.1746,0.1149
0.0785124,2.9321,6.4901,6.6704,1028.9593,10.7,2.1704,0.0983
0.056297589,2.0814,6.4,6.4,1029.5455,10.6432,1.9114,0.1002
0.073751681,2.7515,6.4,6.4,1029.9341,10.1204,2,0.091
0.071858421,2.6793,6.4,6.4,1029.9384,10.1105,2,0.0792
0.097945057,3.6582,6.4,6.3,1030.907,10.2126,1.8028,0.1359
0.092528619,3.4581,6.4,6.3,1030.9284,10.2511,1.8113,0.1243
0.098600693,3.6823,6.4,6.3,1030.9426,10.2767,1.817,0.1192
0.092890166,3.4715,6.4,6.3128,1031.4639,10.9849,2.0128,0.1247
0.099185914,3.7037,6.4,6.3972,1031.9055,10.1889,2.0945,0.14
0.103273287,3.8532,6.4,6.3958,1031.9084,10.1832,2.0916,0.1275
0.09605252,3.5884,6.4,6.393,1031.9141,10.1719,2.0859,0.1208
0.108728647,4.0512,6.3929,6.3,1032.1142,9.7291,1.9071,0.146
0.112005815,4.1692,6.3872,6.3,1032.1256,9.6721,1.9128,0.1405
0.093866758,3.5077,6.3057,6.3,1032.3227,8.8568,1.9943,0.13
0.096128792,3.5913,6.3099,6.3,1032.3398,8.8995,1.9901,0.1098
0.0888687,3.3219,6.3999,6.3,1032.6997,9.7992,1.9001,0.1288
0.093410604,3.4908,6.3958,6.3042,1032.7168,9.7581,1.9042,0.0889
0.092375167,3.4524,6.3944,6.3056,1032.7224,9.7439,1.9056,0.1205
0.095294684,3.5605,6.3901,6.3099,1032.7395,9.7012,1.9099,0.1107
0.096649818,3.6105,6.3873,6.3127,1032.7509,9.6727,1.9127,0.1053
0.078719981,2.9402,6.3,6.4114,1033.1795,9.2545,1.9886,0.0766
0.128374532,4.7486,6.3,6.5,1033.8,12.8,1.9,0.1293
0.117464326,4.3641,6.3,6.4972,1033.8099,12.8099,1.9,0.0885
0.117644146,4.3705,6.3,6.4915,1033.8298,12.8298,1.9,0.1328
0.125810981,4.6589,6.3,6.4858,1033.8497,12.8497,1.9,0.1604
0.131325126,4.8514,6.3,6.4829,1033.8597,12.8597,1.9,0.1347
0.124346882,4.6075,6.3,6.4744,1033.8895,12.8895,1.9,0.1659
0.114836574,4.2706,6.3,6.2889,1034.5138,13.3894,1.8972,0.1477
0.126239747,4.6741,6.3,6.2776,1034.5281,13.2756,1.8944,0.1568
0.123355404,4.5728,6.3,6.2491,1034.5636,12.9909,1.8873,0.132
0.148485512,5.4401,6.3,5.9001,1034.9999,9.5006,1.8,0.1319
0.138851464,5.1118,6.3,5.9014,1035.0112,9.5379,1.8014,0.184
0.146322295,5.3668,6.3,5.9043,1035.034,9.6148,1.8043,0.1717
0.151349157,5.5367,6.3,6.0028,1035.8114,12.2,1.9,0.1584
0.151349336,5.5367,6.3,6.0114,1035.8455,12.2,1.9,0.1704
0.123252019,4.5692,6.3,6.1998,1036.5994,12.2,1.9,0.1364
0.138137817,5.0873,6.3,5.883,1037.434,11.634,1.7113,0.1378
0.134988755,4.9788,6.3,5.8787,1037.4426,11.6426,1.7142,0.141
0.120854758,4.4851,6.3,5.6,1038,12.2,1.9,0.1432
0.134244651,4.9533,6.3,5.5943,1038.0114,12.0238,1.8886,0.1491
0.116356097,4.3255,6.3,5.4987,1038.2,9.1336,1.7027,0.1036
0.11348094,4.2228,6.3,5.493,1038.2,9.2758,1.7141,0.1523
0.11831519,4.3952,6.3,5.4887,1038.2,9.3826,1.7226,0.1784
0.139604315,5.138,6.3,5.4028,1038.2,11.6339,1.9,0.1216
0.126633599,4.6886,6.3,5.4085,1038.2,11.7022,1.9,0.1642
0.10617464,3.9595,6.4,5.4944,1037.7,12.8393,1.9,0.1922
0.138225481,5.0906,6.5,5.4986,1037.4057,12.1617,1.8986,0.1975
0.135006368,4.9797,6.5,5.4972,1037.4114,12.1233,1.8972,0.1707
0.125120908,4.6355,6.5,5.4872,1037.4512,11.8547,1.8872,0.1553
0.135693669,5.0035,6.5,5.4001,1037.7997,9.5022,1.8001,0.1349
0.138373852,5.0958,6.4873,5.3618,1037.8764,9.92,1.8127,0.129
0.115084805,4.2805,6.4,5.0943,1038.417,12.8397,1.9113,0.1429
0.131575838,4.8612,6.4,5.0915,1038.4255,12.8596,1.917,0.1071
0.128979206,4.7709,6.4,5,1038.7,13.5,2.1,0.1271
0.121092312,4.494,6.3943,5,1038.7227,13.5,2.0943,0.1218
0.107705891,4.0154,6.3042,5,1039.1042,13.5,2.0084,0.0937
0.100359142,3.748,6.3099,5,1039.1099,13.5,2.0198,0.1046
0.124830373,4.6257,6.3957,4.9957,1039.2212,13.5,2.1915,0.1554
0.116686366,4.3377,6.3915,4.9915,1039.2426,13.5,2.183,0.1422
0.118663751,4.408,6.3872,4.9872,1039.2639,13.5,2.1744,0.1197
0.107747667,4.017,6.3085,4.9,1039.7256,13.5,2,0.0728
0.088587172,3.3127,6.3987,4.9,1039.9987,13.4906,1.9987,0.0735
0.084124401,3.1456,6.2958,4.8042,1039.2958,13.5,1.7126,0.052
0.086080045,3.219,6.293,4.807,1039.293,13.5,1.7211,0.0774
0.082938962,3.101,6.2915,4.8085,1039.2915,13.5,1.7254,0.075
0.07872054,2.9417,6.2873,4.8127,1039.2873,13.5,1.7382,0.0547
0.092698276,3.4657,6.2,4.9,1039.2,13.5,2,0.0829
0.09282507,3.4704,6.2028,4.9028,1039.1802,13.4802,1.9943,0.0726
0.086973958,3.2523,6.3,5,1038.5,12.8,1.8,0.0634
0.102366284,3.8214,6.2872,4.9872,1038.4233,12.979,1.8128,0.0968
0.1087135,4.0519,6.2001,4.9001,1037.9005,14.1989,1.8999,0.0743
0.101553939,3.7918,6.2085,4.9085,1037.9,13.904,1.8915,0.1049
0.091389738,3.4171,6.2099,4.9099,1037.9,13.8542,1.8901,0.163
0.082486995,3.0838,6.2986,4.9986,1037.9014,10.7492,1.8,0.0615
0.081763007,3.0566,6.2014,4.9014,1038.0099,14.2,1.8043,0.0863
0.071948789,2.6841,6.2028,4.9028,1038.0199,14.2,1.8085,0.087
0.073618986,2.7478,6.2085,4.9085,1038.0597,14.2,1.8256,0.069
0.054047532,1.9956,6.3,5.0084,1038.7042,14.1707,2.0958,0.0331
0.066306233,2.4678,6.3,5.217,1038.817,13.5298,2.0043,0.0571
0.076154947,2.844,6.3,5.2284,1038.8284,13.5497,2.0071,0.0811
0.066275746,2.4666,6.3,5.2511,1038.8511,13.5895,2.0128,0.043
0.070672736,2.6347,6.3,5.6284,1039.2,14.1204,2.0886,0.0329
0.077928223,2.9109,6.3,5.6568,1039.2,14.0408,2.0773,0.0605
0.100630768,3.7573,6.3043,5.7043,1038.0042,12.8,1.8957,0.1353
0.096718676,3.6136,6.3057,5.7057,1038.0057,12.8,1.8943,0.1366
0.117974326,4.3829,6.3128,5.7128,1038.0128,12.8,1.8872,0.1069
0.123626083,4.5827,6.4,5.8,1038.1,12.8,1.8,0.1287
0.118683167,4.408,6.4,5.8,1038.1,12.8,1.8014,0.1138
0.119015723,4.4198,6.4,5.8,1038.1,12.8,1.8043,0.1441
0.11489471,4.2731,6.4,5.8,1038.1,12.8,1.8085,0.1449
0.111637205,4.1564,6.4,5.8,1038.1,12.8,1.8999,0.1548
0.119331494,4.431,6.3987,5.7973,1038.1027,12.7919,1.8987,0.1306
0.128229395,4.7441,6.3944,5.7888,1038.1112,12.7663,1.8944,0.1282
0.098438881,3.677,6.3,5.6,1038.3,12.2001,1.8,0.0833
0.097332314,3.6363,6.2986,5.6,1038.3014,12.2084,1.7986,0.0962
0.096290149,3.5979,6.2915,5.6,1038.3085,12.2511,1.7915,0.1025
0.104926825,3.9141,6.2,5.6043,1038.4043,12.7744,1.7043,0.113
0.10619688,3.9602,6.2,5.6128,1038.4128,12.7233,1.7128,0.1001
0.104019165,3.881,6.2,5.6999,1038.4999,12.2005,1.7999,0.1677
0.114522912,4.2599,6.2,5.7,1038.5013,12.2081,1.8027,0.1263
0.098664619,3.6852,6.2014,5.7014,1038.6042,12.7831,1.9986,0.1235
0.111181356,4.1401,6.2057,5.7057,1038.617,12.7319,1.9943,0.0823
0.094916523,3.547,6.2957,5.8,1038.8957,11.6512,1.8957,0.1042
0.099571384,3.7183,6.1972,5.9,1037.2859,12.1435,1.5028,0.1136
0.094653964,3.5372,6.1957,5.9,1037.2787,12.115,1.5043,0.1205
0.096129589,3.5917,6.1915,5.9,1037.2574,12.0296,1.5085,0.101
0.157087415,5.6735,6.2013,6.004,1036.608,10.2,1.5973,0.2097
0.162208766,5.7673,6.2042,6.0126,1036.6251,10.2,1.5916,0.1774
0.126751274,4.692,6.3,6.3,1037.1999,10.2,1.4,0.1659
0.123263218,4.5695,6.3,6.3142,1037.2497,10.2,1.4071,0.1371
0.129522696,4.7888,6.3,6.3199,1037.2696,10.2,1.4099,0.153
0.128250271,4.7444,6.3,6.3256,1037.2895,10.2,1.4128,0.1516
0.086837783,3.2458,6.3,6.5,1037.8815,10.2,1.5,0.1028
0.162395284,5.7783,6.3,6.5126,1036.6251,10.2586,1.4958,0.18
0.166335493,5.8496,6.3,6.5211,1036.6422,10.2985,1.493,0.1984
0.164204404,5.8113,6.3,6.5254,1036.6507,10.3184,1.4915,0.1872
0.170003861,5.9154,6.3,6.5339,1036.6678,10.3583,1.4887,0.1464
0.112703726,4.1938,6.3071,6.8071,1037.1929,11.4014,1.4,0.1137
0.117244124,4.356,6.3085,6.8085,1037.1915,11.3615,1.4,0.12
0.119894542,4.4501,6.3099,6.8099,1037.1901,11.3217,1.4,0.1109
0.117955603,4.3813,6.3114,6.8114,1037.1886,11.2818,1.4,0.1342
0.112499692,4.1864,6.4,6.9,1037.1,8.8,1.4,0.1056
0.111182757,4.1391,6.4,6.8986,1037.0872,8.827,1.4,0.111
0.105671979,3.94,6.4,6.8957,1037.0616,8.881,1.4,0.1183
0.105732545,3.9422,6.4,6.8943,1037.0488,8.908,1.4,0.115
0.103601232,3.8647,6.4,6.8915,1037.0233,8.962,1.4,0.1211
0.101026483,3.7707,6.4,6.8872,1036.9849,9.043,1.4,0.1057
0.121466272,4.5057,6.4,6.8126,1036.1791,10.7,1.4042,0.1472
0.122588612,4.5453,6.4,6.8296,1036.1506,10.7,1.4099,0.1563
0.131384954,4.8532,6.4,6.8382,1036.1364,10.7,1.4127,0.1307
0.210422844,6.614,6.4,7.1142,1035.6645,10.7638,1.5,0.2096
0.177954346,6.0646,6.4,7.1199,1035.6503,10.7895,1.5,0.2081
0.287944108,7.8465,6.3986,7.3014,1035.1986,11.5872,1.4986,0.2725
0.224960744,6.8549,6.3972,7.3028,1035.1972,11.5744,1.4972,0.2571
0.237045676,7.0493,6.3957,7.3043,1035.1957,11.5616,1.4957,0.2806
0.219668567,6.7692,6.3915,7.3085,1035.1915,11.5233,1.4915,0.2047
0.17791836,6.071,6.3,7.3945,1035.1055,10.7249,1.4028,0.222
0.180457771,6.1151,6.3,7.3888,1035.1112,10.7505,1.4056,0.1951
0.155141562,5.6614,6.3,7.3859,1035.1141,10.7633,1.407,0.2183
0.179635122,6.1007,6.3,7.3831,1035.1169,10.7761,1.4085,0.1828
0.206821844,6.5613,6.3,7.3802,1035.1198,10.7889,1.4099,0.2226
0.149594769,5.4767,6.3,7.2,1035.3,11.5999,1.5,0.1956
0.159713194,5.7423,6.3028,7.2057,1035.3,11.5293,1.5,0.1623
0.157024518,5.6929,6.3043,7.2085,1035.3,11.4937,1.5,0.1782
0.15414232,5.6298,6.3057,7.2113,1035.3,11.4582,1.5,0.2251
0.156794146,5.6887,6.3071,7.2142,1035.3,11.4226,1.5,0.1843
0.160744071,5.7613,6.3114,7.2227,1035.3,11.3159,1.5,0.1969
